a,b,lukasiewicz,kleene,reichenbach,zadeh,godel,quantum_S,quantum_QL,quantum_R
0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.05000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.10000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.15000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.20000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.25000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.30000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.35000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.40000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.45000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.50000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.55000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.60000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.65000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.70000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.75000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.85000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.90000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,0.95000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
0.05000,0.00000,0.95000,0.95000,0.95000,0.95000,0.00000,0.99290,0.99380,0.62879
0.05000,0.05000,1.00000,0.95000,0.95250,0.95000,1.00000,0.99440,0.99510,1.00000
0.05000,0.10000,1.00000,0.95000,0.95500,0.95000,1.00000,0.99430,0.99390,1.00000
0.05000,0.15000,1.00000,0.95000,0.95750,0.95000,1.00000,0.99490,0.99300,1.00000
0.05000,0.20000,1.00000,0.95000,0.96000,0.95000,1.00000,0.99490,0.99500,1.00000
0.05000,0.25000,1.00000,0.95000,0.96250,0.95000,1.00000,0.99520,0.99480,1.00000
0.05000,0.30000,1.00000,0.95000,0.96500,0.95000,1.00000,0.99390,0.99460,1.00000
0.05000,0.35000,1.00000,0.95000,0.96750,0.95000,1.00000,0.99590,0.99560,1.00000
0.05000,0.40000,1.00000,0.95000,0.97000,0.95000,1.00000,0.99590,0.99600,1.00000
0.05000,0.45000,1.00000,0.95000,0.97250,0.95000,1.00000,0.99640,0.99670,1.00000
0.05000,0.50000,1.00000,0.95000,0.97500,0.95000,1.00000,0.99640,0.99680,1.00000
0.05000,0.55000,1.00000,0.95000,0.97750,0.95000,1.00000,0.99630,0.99700,1.00000
0.05000,0.60000,1.00000,0.95000,0.98000,0.95000,1.00000,0.99810,0.99810,1.00000
0.05000,0.65000,1.00000,0.95000,0.98250,0.95000,1.00000,0.99880,0.99770,1.00000
0.05000,0.70000,1.00000,0.95000,0.98500,0.95000,1.00000,0.99880,0.99890,1.00000
0.05000,0.75000,1.00000,0.95000,0.98750,0.95000,1.00000,0.99870,0.99900,1.00000
0.05000,0.80000,1.00000,0.95000,0.99000,0.95000,1.00000,0.99890,0.99940,1.00000
0.05000,0.85000,1.00000,0.95000,0.99250,0.95000,1.00000,0.99950,0.99960,1.00000
0.05000,0.90000,1.00000,0.95000,0.99500,0.95000,1.00000,0.99990,0.99980,1.00000
0.05000,0.95000,1.00000,0.95000,0.99750,0.95000,1.00000,1.00000,1.00000,1.00000
0.05000,1.00000,1.00000,1.00000,1.00000,0.95000,1.00000,1.00000,1.00000,1.00000
0.10000,0.00000,0.90000,0.90000,0.90000,0.90000,0.00000,0.97730,0.97510,0.22798
0.10000,0.05000,0.95000,0.90000,0.90500,0.90000,0.05000,0.97450,0.97560,1.00000
0.10000,0.10000,1.00000,0.90000,0.91000,0.90000,1.00000,0.97450,0.97510,1.00000
0.10000,0.15000,1.00000,0.90000,0.91500,0.90000,1.00000,0.97620,0.97890,1.00000
0.10000,0.20000,1.00000,0.90000,0.92000,0.90000,1.00000,0.97510,0.97900,1.00000
0.10000,0.25000,1.00000,0.90000,0.92500,0.90000,1.00000,0.98010,0.97970,1.00000
0.10000,0.30000,1.00000,0.90000,0.93000,0.90000,1.00000,0.98010,0.98130,1.00000
0.10000,0.35000,1.00000,0.90000,0.93500,0.90000,1.00000,0.98330,0.98330,1.00000
0.10000,0.40000,1.00000,0.90000,0.94000,0.90000,1.00000,0.98240,0.98380,1.00000
0.10000,0.45000,1.00000,0.90000,0.94500,0.90000,1.00000,0.98560,0.98590,1.00000
0.10000,0.50000,1.00000,0.90000,0.95000,0.90000,1.00000,0.98920,0.98760,1.00000
0.10000,0.55000,1.00000,0.90000,0.95500,0.90000,1.00000,0.98970,0.98970,1.00000
0.10000,0.60000,1.00000,0.90000,0.96000,0.90000,1.00000,0.98950,0.99270,1.00000
0.10000,0.65000,1.00000,0.90000,0.96500,0.90000,1.00000,0.99300,0.99390,1.00000
0.10000,0.70000,1.00000,0.90000,0.97000,0.90000,1.00000,0.99510,0.99450,1.00000
0.10000,0.75000,1.00000,0.90000,0.97500,0.90000,1.00000,0.99620,0.99640,1.00000
0.10000,0.80000,1.00000,0.90000,0.98000,0.90000,1.00000,0.99800,0.99740,1.00000
0.10000,0.85000,1.00000,0.90000,0.98500,0.90000,1.00000,0.99820,0.99830,1.00000
0.10000,0.90000,1.00000,0.90000,0.99000,0.90000,1.00000,0.99940,0.99940,1.00000
0.10000,0.95000,1.00000,0.95000,0.99500,0.90000,1.00000,0.99970,1.00000,1.00000
0.10000,1.00000,1.00000,1.00000,1.00000,0.90000,1.00000,1.00000,1.00000,1.00000
0.15000,0.00000,0.85000,0.85000,0.85000,0.85000,0.00000,0.94650,0.94700,0.10142
0.15000,0.05000,0.90000,0.85000,0.85750,0.85000,0.05000,0.94640,0.94540,0.99978
0.15000,0.10000,0.95000,0.85000,0.86500,0.85000,0.10000,0.95000,0.94330,1.00000
0.15000,0.15000,1.00000,0.85000,0.87250,0.85000,1.00000,0.94760,0.95190,1.00000
