a,b,new_imp
0.00000,0.00000,0.00000
0.00000,0.05000,0.00300
0.00000,0.10000,0.00970
0.00000,0.15000,0.02840
0.00000,0.20000,0.04650
0.00000,0.25000,0.07310
0.00000,0.30000,0.10540
0.00000,0.35000,0.12970
0.00000,0.40000,0.16880
0.00000,0.45000,0.20770
0.00000,0.50000,0.25500
0.00000,0.55000,0.29800
0.00000,0.60000,0.33630
0.00000,0.65000,0.36560
0.00000,0.70000,0.39370
0.00000,0.75000,0.42740
0.00000,0.80000,0.46060
0.00000,0.85000,0.47400
0.00000,0.90000,0.48660
0.00000,0.95000,0.50120
0.00000,1.00000,0.49830
0.05000,0.00000,0.00290
0.05000,0.05000,0.00590
0.05000,0.10000,0.01450
0.05000,0.15000,0.02880
0.05000,0.20000,0.05180
0.05000,0.25000,0.08050
0.05000,0.30000,0.10380
0.05000,0.35000,0.14210
0.05000,0.40000,0.17940
0.05000,0.45000,0.20960
0.05000,0.50000,0.25430
0.05000,0.55000,0.28610
0.05000,0.60000,0.32790
0.05000,0.65000,0.36630
0.05000,0.70000,0.40640
0.05000,0.75000,0.42500
0.05000,0.80000,0.47090
0.05000,0.85000,0.46630
0.05000,0.90000,0.49510
0.05000,0.95000,0.49400
0.05000,1.00000,0.50640
0.10000,0.00000,0.01260
0.10000,0.05000,0.01770
0.10000,0.10000,0.02370
0.10000,0.15000,0.04020
0.10000,0.20000,0.06060
0.10000,0.25000,0.08660
0.10000,0.30000,0.11840
0.10000,0.35000,0.14780
0.10000,0.40000,0.18570
0.10000,0.45000,0.22620
0.10000,0.50000,0.26330
0.10000,0.55000,0.30270
0.10000,0.60000,0.33670
0.10000,0.65000,0.37820
0.10000,0.70000,0.41060
0.10000,0.75000,0.44300
0.10000,0.80000,0.46790
0.10000,0.85000,0.49000
0.10000,0.90000,0.49950
0.10000,0.95000,0.50720
0.10000,1.00000,0.50250
0.15000,0.00000,0.02950
0.15000,0.05000,0.03120
0.15000,0.10000,0.04200
0.15000,0.15000,0.05330
0.15000,0.20000,0.07640
0.15000,0.25000,0.10270
0.15000,0.30000,0.12560
0.15000,0.35000,0.16150
0.15000,0.40000,0.19550
0.15000,0.45000,0.23170
0.15000,0.50000,0.27650
0.15000,0.55000,0.31000
0.15000,0.60000,0.35790
0.15000,0.65000,0.39740
0.15000,0.70000,0.42740
0.15000,0.75000,0.45730
0.15000,0.80000,0.48190
0.15000,0.85000,0.49980
0.15000,0.90000,0.51890
0.15000,0.95000,0.52530
0.15000,1.00000,0.53500
0.20000,0.00000,0.04590
0.20000,0.05000,0.04930
0.20000,0.10000,0.06170
0.20000,0.15000,0.07960
0.20000,0.20000,0.09510
0.20000,0.25000,0.11930
0.20000,0.30000,0.15530
0.20000,0.35000,0.17610
0.20000,0.40000,0.22790
0.20000,0.45000,0.26680
0.20000,0.50000,0.30120
0.20000,0.55000,0.33580
0.20000,0.60000,0.36970
0.20000,0.65000,0.41800
0.20000,0.70000,0.44710
0.20000,0.75000,0.48080
0.20000,0.80000,0.49540
0.20000,0.85000,0.52540
0.20000,0.90000,0.54440
0.20000,0.95000,0.54660
0.20000,1.00000,0.55510
0.25000,0.00000,0.07680
0.25000,0.05000,0.07810
0.25000,0.10000,0.08630
0.25000,0.15000,0.10140
0.25000,0.20000,0.11490
0.25000,0.25000,0.14290
0.25000,0.30000,0.18190
0.25000,0.35000,0.21070
0.25000,0.40000,0.24610
0.25000,0.45000,0.28230
0.25000,0.50000,0.31880
0.25000,0.55000,0.36230
0.25000,0.60000,0.40500
0.25000,0.65000,0.42810
0.25000,0.70000,0.46900
0.25000,0.75000,0.49850
0.25000,0.80000,0.51840
0.25000,0.85000,0.55060
0.25000,0.90000,0.57580
0.25000,0.95000,0.57140
0.25000,1.00000,0.57690
0.30000,0.00000,0.09920
0.30000,0.05000,0.10710
0.30000,0.10000,0.11920
0.30000,0.15000,0.12670
0.30000,0.20000,0.15250
0.30000,0.25000,0.17800
0.30000,0.30000,0.20590
0.30000,0.35000,0.23620
0.30000,0.40000,0.27340
0.30000,0.45000,0.31020
0.30000,0.50000,0.34690
0.30000,0.55000,0.39250
0.30000,0.60000,0.43050
0.30000,0.65000,0.46790
0.30000,0.70000,0.49610
0.30000,0.75000,0.53130
0.30000,0.80000,0.56310
0.30000,0.85000,0.57370
0.30000,0.90000,0.59200
0.30000,0.95000,0.60160
0.30000,1.00000,0.60410
0.35000,0.00000,0.13680
0.35000,0.05000,0.14530
0.35000,0.10000,0.14520
0.35000,0.15000,0.16280
0.35000,0.20000,0.18520
0.35000,0.25000,0.21560
0.35000,0.30000,0.24010
0.35000,0.35000,0.27070
0.35000,0.40000,0.30670
0.35000,0.45000,0.33850
0.35000,0.50000,0.38730
0.35000,0.55000,0.42630
0.35000,0.60000,0.46290
